country,country_code,abbreviation,group,player_name,short_name,role,position_detail,position_side,jersey_number,birth_date,height_cm,weight_kg,nationality_code,image_url,player_id,team_id,matches_played,goals,assists,yellow_cards,red_cards,preferred_foot,join_date,active_status,ifes_id
Algeria,ALG,ALG,Group J,Melvin MASTIL,MASTIL,Goalkeeper,Goalkeeper,Unknown,1,2000-02-19,194.0,90.0,ALG,https://digitalhub.fifa.com/transform/6d85724d-c5a6-400d-acb9-df73451a4bf4/MASTIL-Melvin_520070,520070,43843,,,,,,,2026-03-26T00:00:00Z,1,520070
Algeria,ALG,ALG,Group J,Aissa MANDI,MANDI,Defender,Defender,Unknown,2,1991-10-22,184.0,81.0,ALG,https://digitalhub.fifa.com/transform/dc4250ac-0a37-44da-9ae0-c858225ad8a1/MANDI-Aissa_376285,376285,43843,,,,,,,2013-11-13T00:00:00Z,1,376285
Algeria,ALG,ALG,Group J,Achref ABADA,Achref ABADA,Defender,Defender,Unknown,3,1999-06-15,185.0,78.0,ALG,https://digitalhub.fifa.com/transform/8b3d3f92-a378-40d7-92d2-85eed4a732d3/ABADA-Achraf_512127,512127,43843,,,,,,,2025-10-16T00:00:00Z,1,512127
Algeria,ALG,ALG,Group J,Mohamed Amine TOUGAI,TOUGAI,Defender,Defender,Unknown,4,2000-01-22,186.0,84.0,ALG,https://digitalhub.fifa.com/transform/08ab7f46-1067-4c5a-9a23-64bda657aca0/TOUGAI-Mohamed-Amine_433600,433600,43843,,,,,,,2021-10-06T00:00:00Z,1,433600
Algeria,ALG,ALG,Group J,Zineddine BELAID,BELAID,Defender,Defender,Unknown,5,1999-03-20,186.0,83.0,ALG,https://digitalhub.fifa.com/transform/f638bd61-6020-4634-bb13-4c19e3b209de/BELAID-Zineddine_480983,480983,43843,,,,,,,2023-12-30T00:00:00Z,1,480983
Algeria,ALG,ALG,Group J,Ramiz ZERROUKI,ZERROUKI,Midfielder,Midfielder,Unknown,6,1998-05-26,183.0,82.0,ALG,https://digitalhub.fifa.com/transform/48a3b28e-cee7-4c5b-87b9-6344b3977983/ZERROUKI-Ramiz_433679,433679,43843,,,,,,,2021-10-09T00:00:00Z,1,433679
Algeria,ALG,ALG,Group J,Riyad Mahrez,MAHREZ,Forward,Forward,Unknown,7,1991-02-21,179.0,73.0,ALG,https://digitalhub.fifa.com/transform/172fb59c-24f2-4bc0-82a2-cdc869badf53/MAHREZ-Riyad_379942,379942,43843,,,,,,,2014-05-10T00:00:00Z,1,379942
Algeria,ALG,ALG,Group J,Houssem Aouar,AOUAR,Midfielder,Midfielder,Unknown,8,1998-06-30,175.0,70.0,ALG,https://digitalhub.fifa.com/transform/ac743888-d671-4971-9df9-594b591f2425/AOUAR-Houssem_430698,430698,43843,,,,,,,2023-03-04T00:00:00Z,1,430698
Algeria,ALG,ALG,Group J,Amine GOUIRI,GOUIRI,Forward,Forward,Unknown,9,2000-02-16,180.0,72.0,ALG,https://digitalhub.fifa.com/transform/4818d176-036a-4494-b53e-ada08bba749c/GOUIRI-Amine_405877,405877,43843,,,,,,,2023-08-28T00:00:00Z,1,405877
Algeria,ALG,ALG,Group J,Fares CHAIBI,CHAIBI,Midfielder,Midfielder,Unknown,10,2002-11-28,183.0,82.0,ALG,https://digitalhub.fifa.com/transform/81f29a61-d5a0-466a-86dd-d52b61f29462/CHAIBI-Fares_477795,477795,43843,,,,,,,2023-11-08T00:00:00Z,1,477795
Algeria,ALG,ALG,Group J,Anis HADJ MOUSSA,HADJ MOUSSA,Forward,Forward,Unknown,11,2002-02-11,176.0,75.0,ALG,https://digitalhub.fifa.com/transform/7446a4bb-0884-461c-8fd7-7ce4c93a0a46/HADJ-MOUSSA-Anis_482874,482874,43843,,,,,,,2024-03-21T00:00:00Z,1,482874
Algeria,ALG,ALG,Group J,Nadhir BENBOUALI,BENBOUALI,Forward,Forward,Unknown,12,2000-04-17,190.0,85.0,ALG,https://digitalhub.fifa.com/transform/9e9811da-2a8a-48cd-9088-1a45b6f90e0a/BENBOUALI-Nadhir_520071,520071,43843,,,,,,,2026-03-26T00:00:00Z,1,520071
Algeria,ALG,ALG,Group J,Jaouen HADJAM,HADJAM,Defender,Defender,Unknown,13,2003-03-26,185.0,83.0,ALG,https://digitalhub.fifa.com/transform/c24e6b93-736c-41a7-be57-2e165509ce5c/HADJAM-Jaouen_482869,482869,43843,,,,,,,2024-03-21T00:00:00Z,1,482869
Algeria,ALG,ALG,Group J,Hicham BOUDAOUI,BOUDAOUI,Midfielder,Midfielder,Unknown,14,1999-09-23,175.0,75.0,ALG,https://digitalhub.fifa.com/transform/76a28e94-3869-40e2-a82e-9fb973181eb6/BOUDAOUI-Hicham_441350,441350,43843,,,,,,,2022-03-25T00:00:00Z,1,441350
Algeria,ALG,ALG,Group J,Rayan AIT-NOURI,AIT NOURI,Defender,Defender,Unknown,15,2001-06-06,180.0,80.0,ALG,https://digitalhub.fifa.com/transform/7d7c26f5-81ee-4c6b-97b5-a8c6f67f0772/ZIZO_431858,431858,43843,,,,,,,2022-11-10T00:00:00Z,1,431858
Algeria,ALG,ALG,Group J,Oussama BENBOT,BENBOT,Goalkeeper,Goalkeeper,Unknown,16,1994-10-11,188.0,90.0,ALG,https://digitalhub.fifa.com/transform/884914ab-5fde-4b43-a31a-99b35849afc8/BENBOT-Oussama_477817,477817,43843,,,,,,,2023-11-08T00:00:00Z,1,477817
Algeria,ALG,ALG,Group J,Rafik BELGHALI,BELGHALI,Defender,Defender,Unknown,17,2002-06-07,180.0,75.0,ALG,https://digitalhub.fifa.com/transform/0007b754-4911-4f39-8c81-df2c156f7aa5/BELGHALI-Rafik_511009,511009,43843,,,,,,,2025-10-08T00:00:00Z,1,511009
Algeria,ALG,ALG,Group J,Mohamed AMOURA,AMOURA,Forward,Forward,Unknown,18,2000-05-09,170.0,68.0,ALG,https://digitalhub.fifa.com/transform/5aa32614-1ae5-49be-aed3-f9636a556385/AMOURA-Mohamed_477790,477790,43843,,,,,,,2023-11-08T00:00:00Z,1,477790
Algeria,ALG,ALG,Group J,Nabil Bentaleb,BENTALEB,Midfielder,Midfielder,Unknown,19,1994-11-24,189.0,76.0,ALG,https://digitalhub.fifa.com/transform/02fbf423-afa1-4863-8ddc-af2136fb5685/BENTALEB-Nabil_379939,379939,43843,,,,,,,2014-05-10T00:00:00Z,1,379939
Algeria,ALG,ALG,Group J,Adil BOULBINA,BOULBINA,Forward,Forward,Unknown,20,2003-05-02,183.0,80.0,ALG,https://digitalhub.fifa.com/transform/167d2400-d78c-4931-8a84-7b27284bd386/BOULBINA-Adil_512132,512132,43843,,,,,,,2025-10-16T00:00:00Z,1,512132
Algeria,ALG,ALG,Group J,Ramy BENSEBAINI,BENSEBAINI,Defender,Defender,Unknown,21,1995-04-16,187.0,84.0,ALG,https://digitalhub.fifa.com/transform/329752fa-e310-4124-8fb2-be7cc478b929/BENSEBAINI-Ramy_395113,395113,43843,,,,,,,2015-10-07T00:00:00Z,1,395113
Algeria,ALG,ALG,Group J,Ibrahim MAZA,MAZA,Midfielder,Midfielder,Unknown,22,2005-11-24,180.0,78.0,ALG,https://digitalhub.fifa.com/transform/d1a9f2e9-3dda-4bdb-b2a1-f026bb97d9ce/MAZA-Ibrahim_494291,494291,43843,,,,,,,2025-03-17T00:00:00Z,1,494291
